,RESPONSEID,MAINBRANCH,EMPLOYMENT,COUNTRY,USSTATE,UKCOUNTRY,EDLEVEL,AGE1STCODE,LEARNCODE,YEARSCODE,YEARSCODEPRO,DEVTYPE,ORGSIZE,CURRENCY,COMPTOTAL,COMPFREQ,LANGUAGEHAVEWORKEDWITH,LANGUAGEWANTTOWORKWITH,DATABASEHAVEWORKEDWITH,DATABASEWANTTOWORKWITH,PLATFORMHAVEWORKEDWITH,PLATFORMWANTTOWORKWITH,WEBFRAMEHAVEWORKEDWITH,WEBFRAMEWANTTOWORKWITH,MISCTECHHAVEWORKEDWITH,MISCTECHWANTTOWORKWITH,TOOLSTECHHAVEWORKEDWITH,TOOLSTECHWANTTOWORKWITH,NEWCOLLABTOOLSHAVEWORKEDWITH,NEWCOLLABTOOLSWANTTOWORKWITH,OPSYS,NEWSTUCK,NEWSOSITES,SOVISITFREQ,SOACCOUNT,SOPARTFREQ,SOCOMM,NEWOTHERCOMMS,AGE,GENDER,TRANS,SEXUALITY,ETHNICITY,ACCESSIBILITY,MENTALHEALTH,SURVEYLENGTH,SURVEYEASE,CONVERTEDCOMPYEARLY,AYUDA
11,12,I am a developer by profession,Employed full-time,ESPAÑA,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Friend or family member",12,5,"Developer, back-end",10 to 19 employees,EUR European Euro,43000.0,Yearly,Bash/Shell;HTML/CSS;JavaScript;Node.js;SQL;TypeScript,C++;Clojure;JavaScript;Node.js;Rust;SQL;TypeScript,PostgreSQL,MongoDB;PostgreSQL;Redis,AWS,,Express;React.js;Vue.js,Express;Vue.js,,,Git,Git,Atom,Atom,Linux-based,Call a coworker or friend;Visit Stack Overflow;Google it;Do other work and come back later,Stack Overflow;Stack Exchange,Daily or almost daily,True,Less than once per month or monthly,"Yes, somewhat",Yes,25-34 years old,Man,No,Straight / Heterosexual,White or of European descent;Hispanic or Latino/a/x,None of the above,None of the above,Too long,Easy,46482.0,Call a coworker or friend;Visit Stack Overflow;Google it;Do other work and come back later Stack Overflow;Stack Exchange
68,69,I am a developer by profession,Employed full-time,ESPAÑA,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11 - 17 years,School,20,10,"Developer, back-end","10,000 or more employees",EUR European Euro,54000.0,Yearly,Bash/Shell;JavaScript;Node.js;TypeScript,JavaScript;Node.js;Python;TypeScript,DynamoDB,DynamoDB;Firebase,AWS,AWS;Microsoft Azure,,,,,Terraform,Terraform,Notepad++;Vim;Visual Studio Code,Vim;Visual Studio Code,Windows,Call a coworker or friend;Visit Stack Overflow;Google it;Watch help / tutorial videos,Stack Overflow;Stack Exchange,Daily or almost daily,True,A few times per week,"Yes, somewhat",No,35-44 years old,Man,No,Straight / Heterosexual,,None of the above,None of the above,Appropriate in length,Easy,58373.0,Call a coworker or friend;Visit Stack Overflow;Google it;Watch help / tutorial videos Stack Overflow;Stack Exchange
79,80,I am a developer by profession,Employed full-time,ESPAÑA,,,"Associate degree (A.A., A.S., etc.)",11 - 17 years,Online Courses or Certification,,,"Developer, back-end",100 to 499 employees,EUR European Euro,20000.0,Yearly,C#;Go;Java;Python,C++;Clojure;Go;Rust,Elasticsearch;Firebase;MariaDB;MySQL;PostgreSQL;Redis,PostgreSQL,AWS;Google Cloud Platform;Heroku,AWS;Heroku,Angular;Django;FastAPI;Flask,React.js,Flutter,NumPy;Pandas,Docker;Git;Terraform;Unity 3D,Deno;Kubernetes;Yarn,Android Studio;IntelliJ;NetBeans;Visual Studio Code;Webstorm,Emacs;Neovim,MacOS,Call a coworker or friend;Visit Stack Overflow;Google it,Stack Overflow;Stack Exchange,Daily or almost daily,True,I have never participated in Q&A on Stack Overflow,"No, not at all",No,18-24 years old,Man,No,Straight / Heterosexual,Hispanic or Latino/a/x,,,Appropriate in length,Easy,21620.0,Call a coworker or friend;Visit Stack Overflow;Google it Stack Overflow;Stack Exchange
108,109,I am a developer by profession,Employed full-time,ESPAÑA,,,"Associate degree (A.A., A.S., etc.)",25 - 34 years,Coding Bootcamp;School,10,8,"Developer, full-stack;Developer, back-end;Product manager",100 to 499 employees,EUR European Euro,36000.0,Yearly,HTML/CSS;Java;JavaScript;Node.js;Python;SQL,HTML/CSS;Java;JavaScript;Node.js;Python;SQL;TypeScript,Microsoft SQL Server;MongoDB;PostgreSQL,MongoDB;PostgreSQL,,,jQuery;Spring,Angular;Angular.js;Express;Spring,,,Docker;Git,Ansible;Docker;Git,Eclipse;Notepad++,Eclipse;Notepad++,Windows,Visit Stack Overflow;Go for a walk or other physical activity;Meditate,Stack Overflow,Multiple times per day,True,A few times per week,"Yes, definitely",No,25-34 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Neither easy nor difficult,38915.0,Visit Stack Overflow;Go for a walk or other physical activity;Meditate Stack Overflow
267,268,I am a developer by profession,Employed full-time,ESPAÑA,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,Other (please specify):,27,13,"Developer, full-stack","1,000 to 4,999 employees",EUR European Euro,,Monthly,HTML/CSS;Java;JavaScript;Node.js;SQL,HTML/CSS;Java;JavaScript;Node.js;Python;SQL,MongoDB;Oracle,MongoDB;Oracle,,,Express;jQuery;Spring,Express;jQuery;Spring,,,,,Eclipse;Notepad++,Eclipse;Notepad++,Windows,Visit Stack Overflow;Google it;Do other work and come back later;Meditate,Stack Overflow;Stack Exchange,Daily or almost daily,True,A few times per month or weekly,"Yes, somewhat",No,35-44 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Neither easy nor difficult,,Visit Stack Overflow;Google it;Do other work and come back later;Meditate Stack Overflow;Stack Exchange
269,270,I am a developer by profession,Employed full-time,ESPAÑA,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5 - 10 years,Online Forum,10,4,"Developer, back-end;Academic researcher;Database administrator",I don’t know,EUR European Euro,,,Bash/Shell;C;C++;HTML/CSS;Java;JavaScript;Node.js;PHP;Python;TypeScript,Bash/Shell;HTML/CSS;Java;JavaScript;Node.js;PHP;Rust;TypeScript,Firebase;MariaDB;MySQL;SQLite,MariaDB,Google Cloud Platform;Heroku,,Express;jQuery;React.js;Spring;Symfony;Vue.js,React.js;Vue.js,,,Docker;Git;Yarn,Docker;Git;Kubernetes;Yarn,Android Studio;IntelliJ;Notepad++;Visual Studio Code,Android Studio;IntelliJ;Notepad++;Visual Studio Code,Windows,Visit Stack Overflow;Go for a walk or other physical activity;Google it;Do other work and come back later,Stack Overflow;Stack Exchange,Multiple times per day,True,Daily or almost daily,"Yes, somewhat",No,25-34 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Neither easy nor difficult,,Visit Stack Overflow;Go for a walk or other physical activity;Google it;Do other work and come back later Stack Overflow;Stack Exchange
300,301,I am a developer by profession,Employed full-time,ESPAÑA,,,"Professional degree (JD, MD, etc.)",18 - 24 years,"Other online resources (ex: videos, blogs, etc);School;Online Courses or Certification;Colleague",9,5,"Developer, mobile;Developer, front-end;Developer, full-stack;Engineer, data;Developer, back-end;Developer, embedded applications or devices;Engineering manager",20 to 99 employees,EUR European Euro,30000.0,Yearly,Kotlin;Python,Kotlin;Python,PostgreSQL;Redis,PostgreSQL;Redis,Microsoft Azure,Microsoft Azure,Angular;Django,Angular;Django;React.js;Vue.js,,,Docker;Git;Kubernetes,Docker;Git;Kubernetes,Android Studio;PyCharm;Visual Studio Code,Atom;IntelliJ;Webstorm,Linux-based,Call a coworker or friend;Visit Stack Overflow;Google it;Do other work and come back later;Panic,Stack Overflow,Multiple times per day,True,Less than once per month or monthly,Neutral,No,25-34 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,,Appropriate in length,Easy,32429.0,Call a coworker or friend;Visit Stack Overflow;Google it;Do other work and come back later;Panic Stack Overflow
301,302,I am a developer by profession,Employed full-time,ESPAÑA,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",18 - 24 years,"Coding Bootcamp;Other online resources (ex: videos, blogs, etc);Friend or family member;Online Courses or Certification",10,10,Other (please specify):,"10,000 or more employees",EUR European Euro,1000.0,Monthly,Assembly;Bash/Shell;C;C#;C++;Go;HTML/CSS;Java;JavaScript;Matlab;PHP;Python;R;SQL;TypeScript;VBA,Bash/Shell;C#;C++;Crystal;Dart;Delphi;Elixir;Erlang;F#;Go;Groovy;HTML/CSS;Java;JavaScript;Julia;Kotlin;LISP;Matlab;Node.js;Objective-C;Perl;PHP;PowerShell;Python;R;Ruby;Rust;Scala;SQL;Swift;TypeScript;VBA,Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL,Cassandra;Couchbase;DynamoDB;Elasticsearch;Firebase;IBM DB2;MariaDB;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;Redis;SQLite,,,Angular;Django;Drupal;jQuery;Laravel;React.js;Spring,Angular;Angular.js;ASP.NET;ASP.NET Core ;Django;Drupal;Express;FastAPI;Flask;Gatsby;jQuery;Laravel;React.js;Ruby on Rails;Spring;Svelte;Symfony;Vue.js,NumPy;Pandas,.NET Framework;.NET Core / .NET 5;Apache Spark;Cordova;Flutter;Hadoop;Keras;NumPy;Pandas;Qt;React Native;TensorFlow;Torch/PyTorch,Docker;Git;Unity 3D;Xamarin,Ansible;Chef;Deno;Docker;Flow;Git;Kubernetes;Pulumi;Puppet;Terraform;Unity 3D;Unreal Engine;Xamarin;Yarn,Eclipse;IntelliJ;IPython/Jupyter;NetBeans;Notepad++;Visual Studio;Visual Studio Code,Android Studio;Atom;Eclipse;Emacs;IntelliJ;IPython/Jupyter;NetBeans;Neovim;Notepad++;PHPStorm;PyCharm;Rider;RStudio;RubyMine;Sublime Text;TextMate;Vim;Visual Studio;Visual Studio Code;Webstorm;Xcode,Windows,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Do other work and come back later;Meditate;Panic,Stack Overflow;Stack Exchange;Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies),Daily or almost daily,True,Less than once per month or monthly,"Yes, somewhat",No,25-34 years old,"Woman;Non-binary, genderqueer, or gender non-conforming","Or, in your own words:",Straight / Heterosexual;Prefer to self-describe:,"White or of European descent;Hispanic or Latino/a/x;Or, in your own words:","Or, in your own words:","I have a mood or emotional disorder (e.g. depression, bipolar disorder);I have an anxiety disorder",Appropriate in length,Neither easy nor difficult,12972.0,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Do other work and come back later;Meditate;Panic Stack Overflow;Stack Exchange;Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies)
305,306,I am a developer by profession,Employed full-time,ESPAÑA,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);Other (please specify):",9,4,"Developer, full-stack",I don’t know,EUR European Euro,26000.0,Yearly,C#;JavaScript;Kotlin;TypeScript,C#;JavaScript;Kotlin;SQL;TypeScript,Firebase;MySQL,Elasticsearch;Firebase;MongoDB;MySQL;Redis,,,Angular;React.js,Angular;Express;Spring;Vue.js,,,Git;Unity 3D,Docker;Git;Unity 3D,IntelliJ;Visual Studio Code,IntelliJ;Rider;Visual Studio;Visual Studio Code,Windows,Call a coworker or friend;Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later,Stack Overflow;Stack Exchange,Multiple times per day,True,Less than once per month or monthly,"Yes, definitely",Yes,25-34 years old,Man,No,Straight / Heterosexual,White or of European descent;Hispanic or Latino/a/x,None of the above,None of the above,Appropriate in length,Easy,28105.0,Call a coworker or friend;Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later Stack Overflow;Stack Exchange
341,342,I code primarily as a hobby,Retired,ESPAÑA,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",45 - 54 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Online Courses or Certification",,,,,,,,HTML/CSS;JavaScript;PHP;SQL,HTML/CSS;JavaScript,MySQL,,,,,,,,,,Notepad++;Sublime Text;TextMate,,MacOS,Visit Stack Overflow;Google it,Stack Overflow,Multiple times per day,True,Daily or almost daily,"Yes, somewhat",Yes,55-64 years old,Prefer not to say,Yes,Prefer not to say,White or of European descent,None of the above,None of the above,Too long,Neither easy nor difficult,,Visit Stack Overflow;Google it Stack Overflow
